Unnamed: 0,English,Turkish
424,sale,satış
425,around,etrafında
426,print,baskı
427,course,kurs
428,job,iş
429,canada,Kanada
430,process,işlem
431,teen,genç
432,room,oda
433,stock,stoklamak
434,training,eğitim
435,too,fazla
436,credit,kredi
437,point,nokta
438,join,katılmak
439,science,bilim
440,men,erkekler
441,categories,kategoriler
442,advanced,gelişmiş
443,west,batı
444,sales,satış
445,look,Bakmak
446,english,İngilizce
447,left,sol
448,team,takım
449,estate,emlak
450,box,kutu
451,conditions,koşullar
452,select,seçme
453,windows,pencereler
454,photos,fotoğraflar
455,gay,eşcinsel
456,thread,iplik
457,week,hafta
458,category,kategori
459,note,Not
460,live,canlı
461,large,büyük
462,gallery,galeri
463,table,masa
464,register,kayıt olmak
465,however,Yine de
466,june,haziran
467,october,ekim
468,november,kasım
469,market,pazar
470,library,kütüphane
471,really,Gerçekten
472,action,aksiyon
473,start,başlangıç
474,series,seri
475,model,model
476,features,özellikler
477,air,hava
478,industry,endüstri
479,plan,plan
480,human,insan
481,provided,tedarik edilen
482,tv,TV
483,yes,Evet
484,required,gerekli
485,second,ikinci
486,hot,sıcak
487,accessories,aksesuarlar
488,cost,maliyet
489,movie,film
490,forums,forumlar
491,march,mart
492,la,la
493,september,eylül
494,better,daha iyi
495,say,söylemek
496,questions,sorular
497,july,temmuz
498,yahoo,yahoo
499,going,giden
500,medical,tıbbi
501,test,test
502,friend,arkadaş
503,come,Gelmek
504,dec,Aralık
505,server,sunucu
506,pc,bilgisayar
507,study,çalışmak
508,application,başvuru
509,cart,araba
510,staff,kadro
511,articles,makaleler
512,san,san
513,feedback,geri bildirim
514,again,Tekrar
515,play,oynamak
516,looking,bakıyor
517,issues,sorunlar
518,april,nisan
519,never,Asla
520,users,kullanıcılar
521,complete,tamamlamak
522,street,sokak
523,topic,başlık
524,comment,Yorum
525,financial,mali
526,things,şeyler
527,working,çalışma
528,against,aykırı
529,standard,standart
530,tax,vergi
531,person,kişi
532,below,altında
533,mobile,mobil
534,less,az
535,got,aldı
536,blog,blog
537,party,parti
538,payment,ödeme
539,equipment,teçhizat
540,login,giriş yapmak
541,student,öğrenci
542,let,izin vermek
543,programs,programlar
544,offers,teklifler
545,legal,yasal
546,above,üstünde
547,recent,son
548,park,park
549,stores,mağazalar
550,side,taraf
551,act,davranmak
552,problem,sorun
553,red,kırmızı
554,give,vermek
555,memory,hafıza
556,performance,performans
557,social,sosyal
558,q,Q
559,august,Ağustos
560,quote,alıntı
561,language,dil
562,story,hikaye
563,sell,satmak
564,options,seçenekler
565,experience,deneyim
566,rates,oranlar
567,create,yaratmak
568,key,anahtar
569,body,vücut
570,young,genç
571,america,Amerika
572,important,önemli
573,field,alan
574,few,bir kaç
575,east,doğu
576,paper,kağıt
577,single,Bekar
578,ii,ii
579,age,yaş
580,activities,aktiviteler
581,club,kulüp
582,example,örnek
583,girls,kızlar
584,additional,ek olarak
585,password,şifre
586,z,z
587,latest,en sonuncu
588,something,bir şey
589,road,yol
590,gift,hediye
591,question,soru
592,changes,değişiklikler
593,night,gece
594,ca,yaklaşık
595,hard,zor
596,texas,Teksas
597,oct,ekim
598,pay,ödemek
599,four,dört
600,poker,poker
601,status,durum
602,browse,göz at
603,issue,sorun
604,range,menzil
605,building,bina
606,seller,satıcı
607,court,mahkeme
608,february,Şubat
609,always,Her zaman
610,result,sonuç
611,audio,ses
612,light,ışık
613,write,yazmak
614,war,savaş
615,nov,kasım
616,offer,teklif
617,blue,mavi
618,groups,gruplar
619,al,al
620,easy,kolay
621,given,verilen
622,files,dosyalar
623,event,etkinlik
624,release,serbest bırakmak
625,analysis,analiz
626,request,rica etmek
627,fax,faks
628,china,Çin
629,making,yapım
630,picture,resim
631,needs,ihtiyaçlar
632,possible,olası
633,might,belki
634,professional,profesyonel
635,yet,henüz
636,month,ay
637,major,ana
638,star,yıldız
639,areas,alanlar
640,future,gelecek
641,space,uzay
642,committee,komite
643,hand,el
644,sun,güneş
645,cards,kartlar
646,problems,sorunlar
647,london,Londra
648,washington,Washington'da
649,meeting,toplantı
650,rss,rss
651,become,haline gelmek
652,interest,faiz
653,id,İD
654,child,çocuk
655,keep,kale
656,enter,girmek
657,california,Kaliforniya
658,porn,porno
659,share,paylaşmak
660,similar,benzer
661,garden,bahçe
662,schools,okullar
663,million,milyon
664,added,eklendi
665,reference,referans
666,companies,şirketler
667,listed,listelenmiş
668,baby,Bebek
669,learning,öğrenme
670,energy,enerji
671,run,koşmak
672,delivery,teslimat
673,net,açık
674,popular,popüler
675,term,terim
676,film,film
677,stories,hikayeler
678,put,koymak
679,computers,bilgisayarlar
680,journal,dergi
681,reports,raporlar
682,co,ortak
683,try,denemek
684,welcome,Hoş geldin
685,central,merkezi
686,images,resimler
687,president,başkan
688,notice,fark etme
689,god,Tanrı
690,original,orijinal
691,head,KAFA
692,radio,radyo
693,until,değin
694,cell,hücre
695,color,renk
696,self,kendi
697,council,konsey
698,away,uzak
699,includes,içerir
700,track,izlemek
701,australia,Avustralya
702,discussion,tartışma
703,archive,arşiv
704,once,bir kere
705,others,diğerleri
706,entertainment,eğlence
707,agreement,anlaşma
708,format,biçim
709,least,en az
710,society,toplum
711,months,aylar
712,log,kayıt
713,safety,emniyet
714,friends,Arkadaşlar
715,sure,Elbette
716,faq,SSS
717,trade,ticaret
718,edition,baskı
719,cars,arabalar
720,messages,mesajlar
721,marketing,pazarlama
722,tell,söylemek
723,further,daha öte
724,updated,güncellendi
725,association,dernek
726,able,hünerli
727,having,sahip olmak
728,provides,sağlar
729,david,Davut
730,fun,eğlence
731,already,çoktan
732,green,yeşil
733,studies,çalışmalar
734,close,kapalı
735,common,yaygın
736,drive,sürmek
737,specific,özel
738,several,birçok
739,gold,altın
740,feb,Şubat
741,living,yaşamak
742,sep,Eylül
743,collection,koleksiyon
744,called,isminde
745,short,kısa
746,arts,sanatlar
747,lot,pay
748,ask,sormak
749,display,görüntülemek
750,limited,sınırlı
751,powered,güçlendirilmiş
752,solutions,çözümler
753,means,araç
754,director,müdür
755,daily,günlük
756,beach,sahil
757,past,geçmiş
758,natural,doğal
759,whether,ikisinden biri
760,due,vadesi dolmuş
761,et,ve
762,electronics,elektronik
763,five,beş
764,upon,üzerine
765,period,dönem
766,planning,planlama
767,database,veritabanı
768,says,diyor
769,official,resmi
770,weather,hava durumu
771,mar,mar
772,land,kara
773,average,ortalama
774,done,Tamamlandı
775,technical,teknik
776,window,pencere
777,france,Fransa
778,pro,profesyonel
779,region,bölge
780,island,ada
781,record,kayıt
782,direct,doğrudan
783,microsoft,Microsoft'un
784,conference,konferans
785,environment,çevre
786,records,kayıtlar
787,st,st
788,district,semt
789,calendar,takvim
790,costs,maliyetler
791,style,stil
792,url,url
793,front,ön
794,statement,ifade
795,update,güncelleme
796,parts,parçalar
797,aug,ağustos
798,ever,durmadan
799,downloads,indirmeler
800,early,erken
801,miles,mil
802,sound,ses
803,resource,kaynak
804,present,Sunmak
805,applications,uygulamalar
806,either,herhangi biri
807,ago,evvel
808,document,belge
809,word,kelime
810,works,çalışır
811,material,malzeme
812,bill,fatura
813,apr,nisan
814,written,yazılı
815,talk,konuşmak
816,federal,federal
817,hosting,barındırma
818,rules,tüzük
819,final,son
820,adult,yetişkin
821,tickets,biletler
822,thing,şey
823,centre,merkez
824,requirements,gereksinimler
825,via,aracılığıyla
826,cheap,ucuz
827,nude,çıplak
828,kids,çocuklar
829,finance,finans
830,TRUE,DOĞRU
831,minutes,dakikalar
832,else,başka
833,mark,işaret
834,third,üçüncü
835,rock,kaynak
836,gifts,hediyeler
837,europe,Avrupa
838,reading,okuma
839,topics,konular
840,bad,kötü
841,individual,bireysel
842,tips,ipuçları
843,plus,artı
844,auto,otomatik
845,cover,kapak
846,usually,genellikle
847,edit,düzenlemek
848,together,birlikte
849,videos,videolar
850,percent,yüzde
851,fast,hızlı
852,function,işlev
853,fact,hakikat
854,unit,birim
855,getting,edinme
856,global,küresel
857,tech,teknoloji
858,meet,tanışmak
859,far,uzak
860,economic,ekonomik
861,en,en
862,player,oyuncu
863,projects,projeler
864,lyrics,şarkı sözleri
865,often,sıklıkla
866,subscribe,abone
867,submit,göndermek
868,germany,Almanya
869,amount,miktar
870,watch,kol saati
871,included,dahil
872,feel,hissetmek
873,though,Yine de
874,bank,banka
875,risk,risk
876,thanks,teşekkürler
877,everything,her şey
878,deals,fırsatlar
879,various,çeşitli
880,words,kelimeler
881,linux,Linux
882,jul,temmuz
883,production,üretme
884,commercial,reklam
885,james,James
886,weight,ağırlık
887,town,şehir
888,heart,kalp
889,advertising,reklamcılık
890,received,kabul edilmiş
891,choose,seçmek
892,treatment,tedavi
893,newsletter,haber bülteni
894,archives,arşivler
895,points,puanlar
896,knowledge,bilgi
897,magazine,dergi
898,error,hata
899,camera,kamera
900,jun,haziran
901,girl,kız
902,currently,şu anda
903,construction,yapı
904,toys,oyuncaklar
905,registered,kayıtlı
906,clear,temizlemek
907,golf,golf
908,receive,almak
909,domain,ihtisas
910,methods,yöntemler
911,chapter,bölüm
912,makes,yapar
913,protection,koruma
914,policies,politikalar
915,loan,borç
916,wide,geniş
917,beauty,güzellik
918,manager,müdür
919,india,Hindistan
920,position,konum
921,taken,alınmış
922,sort,düzenlemek
923,listings,listelemeler
924,models,modeller
925,michael,Michael
926,known,bilinen
927,half,yarım
928,cases,vakalar
929,step,adım
930,engineering,mühendislik
931,florida,Florida
932,simple,basit
933,quick,hızlı
934,none,hiçbiri
935,wireless,kablosuz
936,license,lisans
937,paul,paul
938,friday,cuma
939,lake,göl
940,whole,tüm
941,annual,yıllık
942,published,yayınlandı
943,later,Daha sonra
944,basic,temel
945,sony,Sony
946,shows,gösteriler
947,corporate,kurumsal
948,google,google
949,church,kilise
950,method,yöntem
951,purchase,satın almak
952,customers,müşteriler
953,active,aktif
954,response,cevap
955,practice,pratik
956,hardware,donanım
957,figure,figür
958,materials,malzemeler
959,fire,ateş
960,holiday,tatil
961,chat,sohbet
962,enough,yeterli
963,designed,tasarlanmış
964,along,birlikte
965,among,arasında
966,death,ölüm
967,writing,yazma
968,speed,hız
969,html,HTML
970,countries,ülkeler
971,loss,kayıp
972,face,yüz
973,brand,marka
974,discount,indirim
975,higher,daha yüksek
976,effects,etkileri
977,created,yaratıldı
978,remember,Unutma
979,standards,standartlar
980,oil,yağ
981,bit,biraz
982,yellow,sarı
983,political,siyasi
984,increase,arttırmak
985,advertise,reklam vermek
986,kingdom,krallık
987,base,temel
988,near,yakın
989,environmental,çevresel
990,thought,düşünce
991,stuff,şey
992,french,Fransızca
993,storage,depolamak
994,oh,ah
995,japan,Japonya
996,doing,yapmak
997,loans,krediler
998,shoes,ayakkabı
999,entry,giriş
1000,stay,kalmak
1001,nature,doğa
1002,orders,emirler
1003,availability,müsaitlik
1004,africa,Afrika
1005,summary,özet
1006,turn,dönüş
1007,mean,Anlam
1008,growth,büyüme
1009,notes,notlar
1010,agency,acente
1011,king,kral
1012,monday,Pazartesi
1013,european,Avrupa
1014,activity,etkinlik
1015,copy,kopyala
1016,although,rağmen
1017,drug,ilaç
1018,pics,resimler
1019,western,batılı
1020,income,gelir
1021,force,güç
1022,cash,peşin
1023,employment,istihdam
1024,overall,etraflı
1025,bay,koy
1026,river,nehir
1027,commission,komisyon
1028,ad,reklam
1029,package,paket
1030,contents,içerikler
1031,seen,görülen
1032,players,oyuncular
1033,engine,motor
1034,port,liman
1035,album,albüm
1036,regional,bölgesel
1037,stop,durmak
1038,supplies,tedarik
1039,started,başladı
1040,administration,yönetim
1041,bar,çubuk
1042,institute,enstitü
1043,views,görünümler
1044,plans,planlar
1045,double,çift
1046,dog,köpek
1047,build,inşa etmek
1048,screen,ekran
1049,exchange,değişme
1050,types,türleri
1051,soon,yakında
1052,sponsored,sponsorlu
1053,lines,çizgiler
1054,electronic,elektronik
1055,continue,devam etmek
1056,across,karşısında
1057,benefits,faydalar
1058,needed,ihtiyaç duyulan
1059,season,mevsim
1060,apply,uygula
1061,someone,birisi
1062,held,tutulmuş
1063,ny,yeni
1064,anything,herhangi bir şey
1065,printer,yazıcı
1066,condition,durum
1067,effective,etkili
1068,believe,inanmak
1069,organization,organizasyon
1070,effect,etki
1071,asked,soruldu
1072,eur,EUR
1073,mind,akıl
1074,sunday,Pazar
1075,selection,seçim
1076,casino,kumarhane
1077,pdf,pdf
1078,lost,kayıp
1079,tour,tur
1080,menu,menü
1081,volume,hacim
1082,cross,geçmek
1083,anyone,herhangi biri
1084,mortgage,ipotek
1085,hope,umut
1086,silver,gümüş
1087,corporation,şirket
1088,wish,dilek
1089,inside,içeri
1090,solution,çözüm
1091,mature,olgun
1092,role,rol
1093,rather,yerine
1094,weeks,haftalar
1095,addition,ek
1096,came,gelmek
1097,supply,tedarik
1098,nothing,Hiçbir şey
1099,certain,kesin
1100,usr,usr
1101,executive,yönetici
1102,running,koşma
1103,necessary,gerekli
1104,union,birlik
1105,jewelry,mücevher
1106,according,binaen
1107,dc,dc
1108,clothing,giyim
1109,mon,Pazartesi
1110,com,com
1111,particular,özel
1112,fine,iyi
1113,names,isimler
1114,robert,Robert
1115,homepage,ana sayfa
1116,hour,saat
1117,gas,gaz
1118,skills,yetenekler
1119,six,altı
1120,bush,çalı
1121,islands,adalar
1122,advice,tavsiye
1123,career,kariyer
1124,military,askeri
1125,rental,kiralama
1126,decision,karar
1127,leave,ayrılmak
1128,british,İngiliz
1129,teens,gençler
1130,pre,ön
1131,huge,büyük
1132,sat,doygunluk
1133,woman,kadın
1134,facilities,tesisler
1135,zip,fermuar
1136,bid,teklif etmek
1137,kind,tür
1138,sellers,satıcılar
1139,middle,orta
1140,move,taşınmak
1141,cable,kablo
1142,opportunities,fırsatlar
1143,taking,alarak
1144,values,değerler
1145,division,bölüm
1146,coming,gelen
1147,tuesday,Salı
1148,object,nesne
1149,lesbian,lezbiyen
1150,appropriate,uygun
1151,machine,makine
1152,logo,logo
1153,length,uzunluk
1154,actually,Aslında
1155,nice,Güzel
1156,score,Gol
1157,statistics,istatistikler
1158,client,müşteri
1159,ok,Tamam
1160,returns,döner
1161,capital,başkent
1162,follow,takip etmek
1163,sample,örnek
1164,investment,yatırım
1165,sent,gönderilmiş
1166,shown,gösterilen
1167,saturday,Cumartesi
1168,christmas,noel
1169,england,İngiltere
1170,culture,kültür
1171,band,bant
1172,flash,flaş
1173,ms,Bayan
1174,lead,yol göstermek
1175,george,George
1176,choice,seçenek
1177,went,gitmiş
1178,starting,başlangıç
1179,registration,kayıt
1180,fri,cuma
1181,thursday,Perşembe
1182,courses,kurslar
1183,consumer,tüketici
1184,hi,MERHABA
1185,airport,havalimanı
1186,foreign,yabancı
1187,artist,sanatçı
1188,outside,dıştan
1189,furniture,mobilya
1190,levels,seviyeler
1191,channel,kanal
1192,letter,mektup
1193,mode,mod
1194,phones,telefonlar
1195,ideas,fikirler
1196,wednesday,Çarşamba
1197,structure,yapı
1198,fund,fon
1199,summer,yaz
1200,allow,izin vermek
1201,degree,derece
1202,contract,sözleşme
1203,button,düğme
1204,releases,sürümler
1205,wed,çarşamba
1206,homes,evler
1207,super,süper
1208,male,erkek
1209,matter,konu
1210,custom,gelenek
1211,virginia,Virginia
1212,almost,neredeyse
1213,took,alınmış
1214,located,bulunan
1215,multiple,çoklu
1216,asian,Asya
1217,distribution,dağıtım
1218,editor,editör
1219,inn,han
1220,industrial,endüstriyel
1221,cause,neden
1222,potential,potansiyel
1223,song,şarkı
1224,cnet,cnet
1225,ltd,ltd
1226,los,kaybolmak
1227,hp,beygir
1228,focus,odak
1229,late,geç
1230,fall,düşmek
1231,featured,öne çıkan
1232,idea,fikir
1233,rooms,odalar
1234,female,dişi
1235,responsible,sorumlu
1236,inc,şirket
1237,communications,iletişimler
1238,win,kazanç
1239,associated,birleşmiş
1240,thomas,Thomas
1241,primary,öncelik
1242,cancer,kanser
1243,numbers,sayılar
1244,reason,sebep
1245,tool,alet
1246,browser,tarayıcı
1247,spring,bahar
1248,foundation,temel
1249,answer,cevap
1250,voice,ses
1251,eg,örneğin
1252,friendly,arkadaşça
1253,schedule,takvim
1254,documents,belgeler
1255,communication,iletişim
1256,purpose,amaç
1257,feature,özellik
1258,bed,yatak
1259,comes,gelir
1260,police,polis
1261,everyone,herkes
1262,independent,bağımsız
1263,ip,ip
1264,approach,yaklaşmak
1265,cameras,kameralar
1266,brown,kahverengi
1267,physical,fiziksel
1268,operating,işletim
1269,hill,tepe
1270,maps,haritalar
1271,medicine,ilaç
1272,deal,anlaşmak
1273,hold,tutmak
1274,ratings,derecelendirmeler
1275,chicago,Chicago
1276,forms,formlar
1277,glass,bardak
1278,happy,mutlu
1279,tue,salı
1280,smith,demirci
1281,wanted,aranan
1282,developed,gelişmiş
1283,thank,teşekkür etmek
1284,safe,güvenli
1285,unique,eşsiz
1286,survey,anket
1287,prior,önceki
1288,telephone,telefon
1289,sport,spor
1290,ready,hazır
1291,feed,beslemek
1292,animal,hayvan
1293,sources,kaynaklar
1294,mexico,Meksika
1295,population,nüfus
1296,pa,baba
1297,regular,düzenli
1298,secure,güvenli
1299,navigation,navigasyon
1300,operations,operasyonlar
1301,therefore,Öyleyse
1302,ass,eşek
1303,simply,basitçe
1304,evidence,kanıt
1305,station,istasyon
1306,christian,Hıristiyan
1307,round,yuvarlak
1308,paypal,paypal
1309,favorite,favori
1310,understand,anlamak
1311,option,seçenek
1312,master,usta
1313,valley,vadi
1314,recently,son zamanlarda
1315,probably,muhtemelen
1316,thu,perşembe
1317,rentals,kiralamalar
1318,sea,deniz
1319,built,inşa edilmiş
1320,publications,yayınlar
1321,blood,kan
1322,cut,kesmek
1323,worldwide,dünya çapında
1324,improve,geliştirmek
1325,connection,bağlantı
1326,publisher,yayıncı
1327,hall,salon
1328,larger,daha büyük
1329,anti,anti
1330,networks,ağlar
1331,earth,toprak
1332,parents,ebeveynler
1333,nokia,Nokia
1334,impact,darbe
1335,transfer,transfer
1336,introduction,giriiş
1337,kitchen,mutfak
1338,strong,güçlü
1339,tel,telefon
1340,carolina,Carolina
1341,wedding,düğün
1342,properties,özellikler
1343,hospital,hastane
1344,ground,zemin
1345,overview,genel bakış
1346,ship,gemi
1347,accommodation,konaklama
1348,owners,sahipleri
1349,disease,hastalık
1350,tx,tx
1351,excellent,harika
1352,paid,paralı
1353,italy,İtalya
1354,perfect,mükemmel
1355,hair,saç
1356,opportunity,fırsat
1357,kit,kit
1358,classic,klasik
1359,basis,temel
1360,command,emretmek
1361,cities,şehirler
1362,william,William
1363,express,ifade etmek
1364,anal,anal
1365,award,ödül
1366,distance,mesafe
1367,tree,ağaç
1368,peter,Peter
1369,assessment,değerlendirme
1370,ensure,emin olmak
1371,thus,Böylece
1372,wall,duvar
1373,ie,yani
1374,involved,dahil olmuş
1375,el,el
1376,extra,ekstra
1377,especially,özellikle
1378,interface,arayüz
1379,pussy,kedi
1380,partners,ortaklar
1381,budget,bütçe
1382,rated,derecelendirilmiş
1383,guides,rehberler
1384,success,başarı
1385,maximum,maksimum
1386,ma,anne
1387,operation,operasyon
1388,existing,mevcut
1389,quite,epeyce
1390,selected,seçilmiş
1391,boy,erkek çocuk
1392,amazon,Amazon
1393,patients,hastalar
1394,restaurants,restoranlar
1395,beautiful,Güzel
1396,warning,uyarı
1397,wine,şarap
1398,locations,konumlar
1399,horse,atış
1400,vote,oy
1401,forward,ileri
1402,flowers,çiçekler
1403,stars,yıldızlar
1404,significant,önemli
1405,lists,listeler
1406,technologies,teknolojiler
1407,owner,mal sahibi
1408,retail,perakende
1409,animals,hayvanlar
1410,useful,kullanışlı
1411,directly,doğrudan
1412,manufacturer,üretici
1413,ways,yollar
1414,est,"Avustralya, Brezilya ve Kuzey Amerika ülkelerinin kullandığı saat uygulaması"
1415,son,oğul
1416,providing,sağlamak
1417,rule,kural
1418,mac,Mac
1419,housing,konut
1420,takes,almak
1421,iii,iii
1422,gmt,GMT
1423,bring,getirmek
1424,catalog,katalog
1425,searches,aramalar
1426,max,maksimum
1427,trying,denemek
1428,mother,anne
1429,authority,yetki
1430,considered,dikkate alınan
1431,told,söylenmiş
1432,xml,xml
1433,traffic,trafik
1434,programme,program
1435,joined,katıldı
1436,input,giriş
1437,strategy,strateji
1438,feet,ayak
1439,agent,ajan
1440,valid,geçerli
1441,bin,çöp kutusu
1442,modern,modern
1443,senior,kıdemli
1444,ireland,İrlanda
1445,sexy,seksi
1446,teaching,öğretim
1447,door,kapı
1448,grand,büyük
1449,testing,test
1450,trial,duruşma
1451,charge,şarj
1452,units,birimler
